YDL014W	YER162C
YDR448W	YPL248C
YHR031C	YNL262W
YHL034C	YNL132W
YER020W	YGR130C
YGL060W	YGL093W
YCR081W	YGL158W
YDR256C	YPL150W
YBR010W	YER110C
YOL034W	YOL082W
YKL196C	YMR197C
YFR024C-A	YGR241C
YER022W	YPL082C
YAL011W	YOL012C
YGR172C	YOR132W
YNL154C	YOR362C
YIL075C	YML124C
YBR159W	YDR331W
YFR028C	YGR052W
YCR086W	YML095C
YGL206C	YKL049C
YGR188C	YMR304W
YBR155W	YPL240C
YDL001W	YGL122C
YDR153C	YKL135C
YBL027W	YLR287C-A
YNL104C	YPL031C
YLL017W	YOR197W
YLR131C	YPR086W
YDR189W	YOR075W
YDR171W	YNL055C
YKL160W	YOR244W
YPL126W	YPL266W
YBL032W	YOR023C
YMR116C	YPL235W
YJR077C	YOR117W
YHL004W	YNL252C
YCL032W	YMR139W
YAL016W	YML109W
YFL036W	YIR010W
YLR075W	YPR181C
YBL090W	YKL155C
YLR144C	YML013W
YGL147C	YLR406C
YDL065C	YLL034C
YNL255C	YOR357C
YIL084C	YMR128W
YGL179C	YOL082W
YNL098C	YOR101W
YIL094C	YJL130C
YFR037C	YGL207W
YBL032W	YPR174C
YGL122C	YPL154C
YDR471W	YGL030W
YBL027W	YDR510W
YDR412W	YGR245C
YDR381W	YJR032W
YGL016W	YOR361C
YGL202W	YLL039C
YDL054C	YOR315W
YHR016C	YLR144C
YCR020W-B	YPL082C
YBR057C	YIL144W
YDR162C	YNL298W
YBR055C	YDL124W
YCL051W	YNL161W
YGR197C	YOR327C
YDR510W	YGR005C
YBR194W	YNL271C
YDR221W	YJL092W
YDL025C	YNL175C
YDR427W	YIL075C
YFL009W	YKL159C
YGL058W	YPR103W
YJL033W	YOR310C
YBR065C	YPL004C
YCR021C	YLR138W
YGL030W	YPR152C
YCR034W	YEL017C-A
YBR010W	YIL126W
YAR014C	YGR225W
YOR310C	YPL235W
YDR416W	YPL213W
YAL005C	YDR502C
YBR251W	YGR150C
YAR002C-A	YLR350W
YDL229W	YHL039W
YLR439W	YMR024W
YAL005C	YBR169C
YBL003C	YHL024W
YKL049C	YPL215W
YGR281W	YLR441C
YBL007C	YML109W
YHR027C	YKL029C
YDL031W	YPL093W
YMR048W	YNL255C
YHR021C	YNR051C
YGL122C	YLL050C
YGR218W	YMR186W
YER139C	YFR014C
YDL145C	YGL122C
YBR031W	YHR203C
YLR185W	YPL001W
YER103W	YGR128C
YBL032W	YMR312W
YDL083C	YDR382W
YGL051W	YGL129C
YBR079C	YEL034W
YDR316W-B	YGL122C
YIL035C	YNL088W
YGR218W	YLR113W
YKL033W	YPR085C
YGR099W	YMR047C
YHL048W	YML048W
YBR140C	YLR310C
YDR432W	YGR054W
YHR135C	YPL171C
YGL117W	YJR022W
YJL187C	YPL240C
YGL180W	YHR090C
YGL122C	YGR201C
YBL032W	YHR214C-B
YBL032W	YDR232W
YLR071C	YOL135C
YNL175C	YPR016C
YJL140W	YJL168C
YKL049C	YPR080W
YBL049W	YJL014W
YER018C	YIL144W
YBR052C	YKL051W
YBR034C	YHR089C
YML117W	YPR080W
YER102W	YLR367W
YER036C	YNL255C
YLR429W	YNL032W
YBR253W	YGR252W
YHL001W	YLL045C
YGR066C	YML064C
YDR326C	YGL122C
YBL032W	YHR186C
YGL122C	YOL039W
YLR438W	YPR165W
YDR064W	YPR189W
YNR023W	YOR290C
YML063W	YPR112C
YKR068C	YOR115C
YMR091C	YPR034W
YER182W	YGL122C
YCR065W	YPL240C
YDL143W	YLL039C
YIL105C	YNL255C
YJR125C	YPR029C
YBR106W	YML075C
YER030W	YOR361C
YGL122C	YKL157W
YBR106W	YJL192C
YDR507C	YJR076C
YDR471W	YHR027C
YHR157W	YPL031C
YGL049C	YML017W
YNL138W	YOR122C
YGR092W	YLR007W
YJL034W	YOL081W
YDR392W	YPL082C
YDL171C	YJR123W
YAL041W	YLR229C
YLR429W	YPL022W
YJL041W	YMR153W
YBR106W	YKL008C
YFR031C-A	YLR287C-A
YDR214W	YKL010C
YBR025C	YHR027C
YLR449W	YPL093W
YDR251W	YJL052W
YBR234C	YER090W
YBL007C	YDR423C
YDR388W	YML016C
YFR004W	YNL014W
YCR063W	YML049C
YDL220C	YPL150W
YCR088W	YPL115C
YML049C	YPL178W
YDR382W	YGR085C
YGL122C	YGR098C
YBL032W	YOR009W
YHL020C	YOR061W
YFR004W	YHL030W
YAR014C	YLR273C
YER164W	YHR099W
YOL082W	YPL091W
YCR009C	YOR232W
YDR365C	YNL002C
YML098W	YPL101W
YGR262C	YHR027C
YLR021W	YPR103W
