YBR034C	YGR181W
YAL007C	YOR254C
YKR059W	YOL135C
YHL034C	YMR116C
YBR115C	YDL229W
YDL028C	YOR373W
YDL087C	YML102W
YAL005C	YPL201C
YDL192W	YFL048C
YAL032C	YGR218W
YBR020W	YML088W
YCL042W	YMR022W
YDR163W	YPL178W
YHL004W	YJL112W
YBR198C	YER148W
YNL227C	YPR102C
YHR129C	YJR091C
YOL091W	YPL249C
YDR457W	YGL031C
YAL005C	YPL181W
YDL229W	YOR083W
YDR331W	YKL154W
YLL008W	YNL002C
YKL049C	YOR151C
YDR150W	YMR168C
YBR200W	YDR242W
YBL084C	YKL022C
YKR048C	YLR330W
YCR081W	YDL077C
YBR031W	YHR169W
YFL037W	YJL111W
YBR083W	YHR061C
YBL026W	YGR118W
YDR170C	YDR258C
YJL132W	YPL106C
YDR054C	YMR186W
YGR075C	YLL024C
YDR113C	YKL035W
YDL153C	YML065W
YBR193C	YOL135C
YJL008C	YNL058C
YBR030W	YMR186W
YFL039C	YLR319C
YMR049C	YPL258C
YNL004W	YPL169C
YDL014W	YER162C
YDR448W	YPL248C
YER020W	YGR130C
YGL060W	YGL093W
YDR256C	YPL150W
YBR010W	YER110C
YOL034W	YOL082W
YKL196C	YMR197C
YFR024C-A	YGR241C
YER022W	YPL082C
YAL005C	YJL034W
YBR159W	YDR331W
YDR409W	YPL058C
YCL010C	YJL008C
YDL029W	YML124C
YGR188C	YMR304W
YER093C	YGL212W
YIR008C	YLR453C
YBR034C	YOR196C
YBL075C	YOR384W
YKL160W	YOR244W
YJL173C	YLL024C
YMR116C	YPL235W
YHL004W	YNL252C
YIL133C	YLR208W
YAL016W	YML109W
YFL036W	YIR010W
YLR075W	YPR181C
YBR072W	YLR442C
YBR234C	YEL031W
YDL138W	YLL015W
YEL036C	YHR080C
YGL179C	YOL082W
YBR245C	YNL209W
YNL153C	YOL142W
YHR064C	YNL237W
YLR037C	YLR183C
YBL037W	YDR409W
YDR449C	YPR112C
YHR064C	YJR148W
YDR381W	YJR032W
YDR412W	YGR245C
YGL016W	YOR361C
YDR388W	YLL024C
YCR020W-B	YPL082C
YBR057C	YIL144W
YDR457W	YLR354C
YCL051W	YNL161W
YDR190C	YHR216W
YDL229W	YMR162C
YBR194W	YNL271C
YNL054W-A	YNL209W
YBR056W	YGL227W
YNL032W	YNL064C
YDR427W	YIL075C
YNL106C	YOR109W
YIL075C	YPL106C
YGR146C	YOR259C
YBR010W	YIL126W
YAR014C	YGR225W
YMR186W	YOR156C
YDR435C	YPR088C
YLR074C	YPR190C
YOR310C	YPL235W
YKR026C	YML085C
YBR251W	YGR150C
YLR167W	YPR119W
YAR002C-A	YLR350W
YOL081W	YPL203W
YHR206W	YJL179W
YDL202W	YJR045C
YBR093C	YCL061C
YKL049C	YPL215W
YGR218W	YLR384C
YGR281W	YLR441C
YGL180W	YIL159W
YDR052C	YPL106C
YER171W	YJR121W
